sujet_id,a_segmentation,snr_cerveau,entropie_cerveau,gradient_cerveau,cv_bruit_cerveau,snr_sain,entropie_sain,gradient_sain,cv_bruit_sain,snr_tumeur,entropie_tumeur,gradient_tumeur,cv_bruit_tumeur,volume_tumeur_voxels,volume_cerveau_voxels,volume_fond_voxels,quality_label,quality_rating
sub-10193,False,13.145305272570125,6.068257610750451,1180.2106595728226,1.0752550204225242,13.145305272570125,6.068257610750451,1180.2106595728226,1.0752550204225242,,,,,0,2561072,1710998,exclude,-1
sub-10225,False,9.003125923764788,6.084543945536384,966.0733180085305,1.3867097875383672,9.003125923764788,6.084543945536384,966.0733180085305,1.3867097875383672,,,,,0,2307761,789701,exclude,-1
sub-10235,False,11.953493305638622,6.02651869345661,1245.2369073034565,1.165211604087639,11.953493305638622,6.02651869345661,1245.2369073034565,1.165211604087639,,,,,0,2740752,1525983,exclude,-1
sub-10269,False,6.308567482958377,6.154626410878929,1145.0385834654164,1.019471325288895,6.308567482958377,6.154626410878929,1145.0385834654164,1.019471325288895,,,,,0,4547617,2113919,exclude,-1
sub-10316,False,11.129673706431294,6.413649834392307,1120.772867377679,1.270831672539515,11.129673706431294,6.413649834392307,1120.772867377679,1.270831672539515,,,,,0,2853233,996974,exclude,-1
sub-10339,False,12.201447185428078,6.695263197402982,1400.6628751747241,1.2477589352010008,12.201447185428078,6.695263197402982,1400.6628751747241,1.2477589352010008,,,,,0,1864415,1338745,exclude,-1
sub-10365,False,11.925243007540717,6.038482448618983,1612.457098630057,1.3078147613872413,11.925243007540717,6.038482448618983,1612.457098630057,1.3078147613872413,,,,,0,2287165,1993356,exclude,-1
sub-10376,False,13.527991018103782,6.274437918520571,1379.035077555634,1.0860374018055967,13.527991018103782,6.274437918520571,1379.035077555634,1.0860374018055967,,,,,0,2255323,1940469,exclude,-1
sub-10377,False,8.910072816582055,6.453883502749738,1116.1918712039599,1.1967773573885305,8.910072816582055,6.453883502749738,1116.1918712039599,1.1967773573885305,,,,,0,3817432,2589777,exclude,-1
sub-10429,False,9.994102193603284,6.637953852390301,817.8821696718762,1.0685617969393943,9.994102193603284,6.637953852390301,817.8821696718762,1.0685617969393943,,,,,0,2293577,542733,exclude,-1
sub-10460,False,13.652256311824909,6.152773821342189,1200.7777068530331,1.2368870146520308,13.652256311824909,6.152773821342189,1200.7777068530331,1.2368870146520308,,,,,0,2582900,1311001,exclude,-1
sub-10506,False,10.836128479246547,6.599138533945037,1160.7114855337443,1.4037693597778473,10.836128479246547,6.599138533945037,1160.7114855337443,1.4037693597778473,,,,,0,3080313,769689,exclude,-1
sub-10527,False,13.827335934237542,6.696122474569514,1201.8743097858855,1.1310075987029602,13.827335934237542,6.696122474569514,1201.8743097858855,1.1310075987029602,,,,,0,2797175,1296965,exclude,-1
sub-10530,False,9.207281976213656,6.698458210653239,1122.709190437462,1.374932819073379,9.207281976213656,6.698458210653239,1122.709190437462,1.374932819073379,,,,,0,2360234,1005025,exclude,-1
